2025-05-07 17:27:30,099 - NEATTraining - INFO - Starting NEAT agent training
2025-05-07 17:27:30,103 - NEATTraining - INFO - Environment: CartPole-v1
2025-05-07 17:27:30,103 - NEATTraining - INFO - State space: Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
2025-05-07 17:27:30,103 - NEATTraining - INFO - Action space: Discrete(2)
2025-05-07 17:28:10,488 - NEATTraining - INFO - Generation 76: Average Return = 19.68, Best Return = 500.00
2025-05-07 17:28:10,541 - NEATTraining - INFO - Generation 77: Average Return = 19.82, Best Return = 500.00
2025-05-07 17:28:10,591 - NEATTraining - INFO - Generation 78: Average Return = 19.02, Best Return = 500.00
2025-05-07 17:28:10,644 - NEATTraining - INFO - Generation 79: Average Return = 20.66, Best Return = 500.00
2025-05-07 17:28:10,693 - NEATTraining - INFO - Generation 80: Average Return = 19.92, Best Return = 500.00
2025-05-07 17:28:10,743 - NEATTraining - INFO - Generation 81: Average Return = 19.24, Best Return = 500.00
2025-05-07 17:28:10,792 - NEATTraining - INFO - Generation 82: Average Return = 19.18, Best Return = 500.00
2025-05-07 17:28:10,844 - NEATTraining - INFO - Generation 83: Average Return = 19.24, Best Return = 500.00
2025-05-07 17:28:10,899 - NEATTraining - INFO - Generation 84: Average Return = 19.40, Best Return = 500.00
2025-05-07 17:28:10,949 - NEATTraining - INFO - Generation 85: Average Return = 20.12, Best Return = 500.00
2025-05-07 17:28:11,000 - NEATTraining - INFO - Generation 86: Average Return = 19.86, Best Return = 500.00
2025-05-07 17:28:11,054 - NEATTraining - INFO - Generation 87: Average Return = 20.86, Best Return = 500.00
2025-05-07 17:28:11,107 - NEATTraining - INFO - Generation 88: Average Return = 20.18, Best Return = 500.00
2025-05-07 17:28:11,161 - NEATTraining - INFO - Generation 89: Average Return = 19.76, Best Return = 500.00
2025-05-07 17:28:11,220 - NEATTraining - INFO - Generation 90: Average Return = 19.24, Best Return = 500.00
